bms_E,minus_log_prob_tree,expression
74.9925297732987,24.821249231912304, pow3(tanh(tanh(cosh(sqrt(-(_a3_))))))
7.05139238691237,9.629050706834368, (_a9_ + _a9_)
36.5750068907583,10.270904593006762, pow3(fac(_a3_))
35.6986990592108,13.908490752733147, -(fac(fac(_a1_)))
65.3058987051752,27.816981505466295, (tanh(_a5_) ** sqrt(tan(pow3(cos(_a1_)))))
16.1220157991552,13.266636866560754, (_a0_ * sinh(_a6_))
45.3360971483983,13.908490752733147, pow3(sinh(fac(_a2_)))
57.3535286801970,13.908490752733147, cos(cosh(fac(_a8_)))
13.5718287557828,10.270904593006762, -(sinh(_a9_))
13.4403353337204,13.266636866560754, cos((_a5_ * _a6_))
44.4573516980811,16.904223026287138, abs(tanh((_a7_ / _a9_)))
13.1308021794824,13.266636866560754, cos((_a5_ + _a5_))
44.9733492892563,16.904223026287138, sinh(fac((_a0_ * _a1_)))
74.4971087446940,44.721204531753436, pow2(sqrt(((exp(sin(_a5_)) / _a5_) / (cos(_a8_) / sqrt(_a0_)))))
32.2747082775891,10.270904593006762, pow2(abs(_a9_))
34.8069080340553,13.266636866560754, abs((_a3_ * _a8_))
38.7340157507071,30.812713779020285, cos(((_a4_ / cosh(_a5_)) * -(sqrt(_a2_))))
42.6772598718553,13.908490752733147, pow2(tan(fac(_a8_)))
13.3931584862638,10.270904593006762, tanh(-(_a8_))
85.7778282599435,27.816981505466295, cosh(tanh((exp(tan(_a7_)) * abs(_a2_))))
22.5299025092218,16.904223026287138, (_a7_ / sinh(sqrt(_a3_)))
46.0413729891677,16.904223026287138, fac(sinh((_a5_ / _a7_)))
67.7607255294175,17.546076912459533, fac(pow3(abs(pow3(_a4_))))
64.3918597376643,27.816981505466295, sqrt((fac(_a9_) ** cosh(pow3(sqrt(_a0_)))))
18.2894063916564,13.266636866560754, tan((_a1_ ** _a6_))
51.2488303559460,10.270904593006762, fac(pow2(_a0_))
33.8229560624182,16.904223026287138, (cos(exp(_a8_)) / _a6_)
25.5061913490329,13.908490752733147, sinh(sin(tan(_a3_)))
49.2529406172667,24.17939534573991, (pow2(pow3(_a0_)) * tan(-(_a0_)))
15.9093150033729,13.266636866560754, sin((_a1_ ** _a7_))
34.7143928948393,13.266636866560754, (fac(_a8_) * _a8_)
58.0073563860805,10.270904593006762, cosh(fac(_a5_))
42.6544166833283,13.908490752733147, fac(cos(pow3(_a2_)))
67.3734209840429,17.546076912459533, cos(tanh(-(fac(_a9_))))
22.5641734505024,13.908490752733147, pow3(sinh(cos(_a2_)))
36.5992340109618,10.270904593006762, fac(sin(_a3_))
28.7455454940004,27.816981505466295, pow3((_a3_ * pow2(pow2(pow2(pow2(_a9_))))))
59.5466802064555,20.541809186013523, exp(sinh(tanh((_a9_ + _a5_))))
50.3793629907888,20.541809186013523, abs((sin(abs(_a0_)) ** _a1_))
55.2965655126916,10.912758479179157, fac(tanh(x))
33.8330627453601,10.270904593006762, pow2(tanh(_a8_))
13.1308021794824,13.266636866560754, (_a7_ + cos(_a7_))
44.0559032451243,16.904223026287138, (_a9_ ** exp(cosh(_a7_)))
37.0122806710169,16.262369140114743, ((_a5_ / _a3_) ** _a6_)
39.0214040187187,13.908490752733147, fac(-(log(_a2_)))
66.5541269922583,20.541809186013523, (exp(sqrt(tanh(_a5_))) ** _a5_)
43.3893279963398,16.904223026287138, abs(tanh((_a4_ * _a3_)))
18.0532960783994,13.266636866560754, sinh((_a9_ ** _a5_))
34.0721510257649,27.1751276192939, (log(tan(exp(_a6_))) + (_a6_ / _a0_))
79.9905136184801,41.725472258199446, pow2(cos((tanh((_a2_ * log(_a0_))) ** abs((_a9_ / x)))))
22.8002837637594,13.908490752733147, tan(cos(pow3(_a3_)))
28.9231271364218,21.18366307218592, cos(cosh(-(log(pow2(_a3_)))))
37.9290000385573,27.1751276192939, (_a8_ / fac(cos((sinh(_a1_) * _a5_))))
2030.16163851389,23.537541459567514, sinh(((_a9_ ** _a2_) / fac(_a8_)))
116.562250581553,16.904223026287138, (_a1_ ** sin(tan(_a3_)))
57.4610605868415,10.270904593006762, fac(fac(_a0_))
129.733950473606,68.25874599132095, (((fac(log(_a2_)) ** ((-(_a9_) / _a5_) + _a4_)) ** (_a0_ ** cos(abs(tan(_a6_))))) ** pow2(_a5_))
27.7828424878782,9.629050706834368, (_a3_ * _a4_)
52.4872954088364,13.908490752733147, (pow2(_a0_) + x)
69.2757322746342,17.546076912459533, sinh(cosh((x + _a5_)))
17.3103487819185,13.266636866560754, (sinh(_a0_) + _a2_)
38.4994546709328,27.816981505466295, pow3((tan(_a9_) / pow2(tanh(pow2(_a9_)))))
39.6559900822486,17.546076912459533, pow2(log(exp(-(_a1_))))
65.1844253508016,13.908490752733147, cosh(tanh(abs(_a8_)))
20.5292112758389,10.912758479179157, -(sin(x))
48.9887218833782,23.537541459567514, ((sin(log(_a7_)) / _a8_) ** _a5_)
13.8079390690398,10.270904593006762, tan(-(_a5_))
29.2091271513978,17.546076912459533, tan(fac(pow2(pow3(_a3_))))
